city,city_ascii,state_id,state_name,county_name,lat,lng,ranking,id
Knoxville,Knoxville,TN,Tennessee,Knox,35.9692,-83.9496,2,1840014486
Grand Rapids,Grand Rapids,MI,Michigan,Kent,42.9619,-85.6562,2,1840002928
Columbia,Columbia,SC,South Carolina,Richland,34.0378,-80.9036,2,1840014730
Albany,Albany,NY,New York,Albany,42.6664,-73.7987,2,1840000417
Bakersfield,Bakersfield,CA,California,Kern,35.3529,-119.0359,2,1840019148
New Haven,New Haven,CT,Connecticut,South Central Connecticut,41.3113,-72.9246,2,1840004850
Des Moines,Des Moines,IA,Iowa,Polk,41.5725,-93.6105,2,1840007069
Akron,Akron,OH,Ohio,Summit,41.0798,-81.5219,2,1840000791
Palm Bay,Palm Bay,FL,Florida,Brevard,27.9631,-80.6593,2,1840015094
Concord,Concord,CA,California,Contra Costa,37.9722,-122.0016,2,1840018905
Wichita,Wichita,KS,Kansas,Sedgwick,37.6895,-97.3443,2,1840001686
Mesa,Mesa,AZ,Arizona,Maricopa,33.4015,-111.7178,2,1840020566
Harrisburg,Harrisburg,PA,Pennsylvania,Dauphin,40.2752,-76.8843,2,1840001288
Staten Island,Staten Island,NY,New York,Richmond,40.5834,-74.1496,2,1840034032
Toledo,Toledo,OH,Ohio,Lucas,41.6638,-83.5827,2,1840000572
Worcester,Worcester,MA,Massachusetts,Worcester,42.2705,-71.8079,2,1840000434
Long Beach,Long Beach,CA,California,Los Angeles,33.7977,-118.167,2,1840020490
Port St. Lucie,Port St. Lucie,FL,Florida,St. Lucie,27.2796,-80.3884,2,1840015119
Little Rock,Little Rock,AR,Arkansas,Pulaski,34.7256,-92.3577,2,1840015509
Reno,Reno,NV,Nevada,Washoe,39.5497,-119.8483,2,1840020121
Spokane,Spokane,WA,Washington,Spokane,47.6671,-117.433,2,1840021093
Madison,Madison,WI,Wisconsin,Dane,43.0822,-89.393,2,1840002915
Boise,Boise,ID,Idaho,Ada,43.6005,-116.2308,2,1840027142
Bonita Springs,Bonita Springs,FL,Florida,Lee,26.3558,-81.7859,2,1840014227
Denton,Denton,TX,Texas,Denton,33.2175,-97.1418,2,1840019390
Oakland,Oakland,CA,California,Alameda,37.7904,-122.2166,2,1840020296
Springfield,Springfield,MA,Massachusetts,Hampden,42.1155,-72.5395,2,1840000466
Augusta,Augusta,GA,Georgia,Richmond,33.3645,-82.0708,2,1840029462
Kissimmee,Kissimmee,FL,Florida,Osceola,28.3041,-81.4169,2,1840015109
Winston-Salem,Winston-Salem,NC,North Carolina,Forsyth,36.1029,-80.261,2,1840015324
Stockton,Stockton,CA,California,San Joaquin,37.9765,-121.3109,2,1840021517
Syracuse,Syracuse,NY,New York,Onondaga,43.0407,-76.1437,2,1840000378
Chattanooga,Chattanooga,TN,Tennessee,Hamilton,35.066,-85.2481,2,1840014569
Lancaster,Lancaster,PA,Pennsylvania,Lancaster,40.042,-76.3012,2,1840003718
Greenville,Greenville,SC,South Carolina,Greenville,34.8354,-82.3646,2,1840013501
Durham,Durham,NC,North Carolina,Durham,35.9792,-78.9022,2,1840013364
Pensacola,Pensacola,FL,Florida,Escambia,30.4413,-87.1911,2,1840015005
Fayetteville,Fayetteville,AR,Arkansas,Washington,36.0714,-94.1661,2,1840013368
Arlington,Arlington,TX,Texas,Tarrant,32.6998,-97.125,2,1840019422
Aurora,Aurora,CO,Colorado,Arapahoe,39.7083,-104.7237,2,1840018794
Oxnard,Oxnard,CA,California,Ventura,34.1964,-119.1815,2,1840020474
Indio,Indio,CA,California,Riverside,33.7346,-116.2346,2,1840019304
Scranton,Scranton,PA,Pennsylvania,Lackawanna,41.4044,-75.6649,2,1840003389
Victorville,Victorville,CA,California,San Bernardino,34.5277,-117.3536,2,1840021731
Trenton,Trenton,NJ,New Jersey,Mercer,40.2237,-74.7641,2,1840001383
Modesto,Modesto,CA,California,Stanislaus,37.6375,-121.0028,2,1840020287
Huntsville,Huntsville,AL,Alabama,Madison,34.6981,-86.6412,2,1840005061
Honolulu,Honolulu,HI,Hawaii,Honolulu,21.3294,-157.846,2,1840013305
Greensboro,Greensboro,NC,North Carolina,Guilford,36.0956,-79.8271,2,1840013356
Anaheim,Anaheim,CA,California,Orange,33.839,-117.8574,2,1840019322
Corpus Christi,Corpus Christi,TX,Texas,Nueces,27.7254,-97.3767,2,1840019718
Fort Wayne,Fort Wayne,IN,Indiana,Allen,41.0888,-85.1436,2,1840008261
Fort Collins,Fort Collins,CO,Colorado,Larimer,40.5477,-105.0656,2,1840020151
Jackson,Jackson,MS,Mississippi,Hinds,32.3157,-90.2125,2,1840014895
Myrtle Beach,Myrtle Beach,SC,South Carolina,Horry,33.7094,-78.8844,2,1840014717
Fayetteville,Fayetteville,NC,North Carolina,Cumberland,35.085,-78.9772,2,1840013490
Antioch,Antioch,CA,California,Contra Costa,37.9787,-121.796,2,1840018903
Lansing,Lansing,MI,Michigan,Ingham,42.7142,-84.5601,2,1840003102
Lexington,Lexington,KY,Kentucky,Fayette,38.0423,-84.4587,2,1840015211
Mobile,Mobile,AL,Alabama,Mobile,30.6782,-88.1162,2,1840006009
Youngstown,Youngstown,OH,Ohio,Mahoning,41.0993,-80.6463,2,1840003563
Henderson,Henderson,NV,Nevada,Clark,36.0133,-115.0381,2,1840020361
Savannah,Savannah,GA,Georgia,Chatham,32.0286,-81.1821,2,1840015830
Poughkeepsie,Poughkeepsie,NY,New York,Dutchess,41.695,-73.9211,2,1840000500
Santa Ana,Santa Ana,CA,California,Orange,33.7367,-117.8819,2,1840021964
Ann Arbor,Ann Arbor,MI,Michigan,Washtenaw,42.2759,-83.731,2,1840003172
St. Paul,St. Paul,MN,Minnesota,Ramsey,44.9478,-93.1039,2,1840008940
Newark,Newark,NJ,New Jersey,Essex,40.7245,-74.1725,2,1840002791
Irvine,Irvine,CA,California,Orange,33.6772,-117.7738,2,1840019325
Santa Rosa,Santa Rosa,CA,California,Sonoma,38.4458,-122.7067,2,1840021488
Canton,Canton,OH,Ohio,Stark,40.8078,-81.3676,2,1840000963
Asheville,Asheville,NC,North Carolina,Buncombe,35.5707,-82.5537,2,1840013411
Flint,Flint,MI,Michigan,Genesee,43.0236,-83.6921,2,1840002949
Winter Haven,Winter Haven,FL,Florida,Polk,28.0118,-81.7014,2,1840015970
Anchorage,Anchorage,AK,Alaska,Anchorage,61.1508,-149.1091,2,1840023385
Lincoln,Lincoln,NE,Nebraska,Lancaster,40.8099,-96.6784,2,1840009357
Concord,Concord,NC,North Carolina,Cabarrus,35.3933,-80.6369,2,1840014559
Jersey City,Jersey City,NJ,New Jersey,Hudson,40.7184,-74.0686,2,1840003600
Springfield,Springfield,MO,Missouri,Greene,37.1943,-93.2916,2,1840009904
Plano,Plano,TX,Texas,Collin,33.0502,-96.7486,2,1840020662
Shreveport,Shreveport,LA,Louisiana,Caddo,32.4653,-93.7955,2,1840015768
Davenport,Davenport,IA,Iowa,Scott,41.5565,-90.6053,2,1840007081
Lubbock,Lubbock,TX,Texas,Lubbock,33.5657,-101.8879,2,1840020604
Lakeland,Lakeland,FL,Florida,Polk,28.0557,-81.9545,2,1840015108
South Bend,South Bend,IN,Indiana,St. Joseph,41.6767,-86.2696,2,1840009241
Chula Vista,Chula Vista,CA,California,San Diego,32.6281,-117.0144,2,1840019350
Chandler,Chandler,AZ,Arizona,Maricopa,33.2825,-111.8514,2,1840019309
Rockford,Rockford,IL,Illinois,Winnebago,42.2596,-89.064,2,1840009132
Reading,Reading,PA,Pennsylvania,Berks,40.34,-75.9267,2,1840001185
Eugene,Eugene,OR,Oregon,Lane,44.0564,-123.1174,2,1840020007
Wilmington,Wilmington,NC,North Carolina,New Hanover,34.2099,-77.8866,2,1840015576
Santa Clarita,Santa Clarita,CA,California,Los Angeles,34.4175,-118.4964,2,1840021864
Gilbert,Gilbert,AZ,Arizona,Maricopa,33.31,-111.7463,2,1840021947
Salem,Salem,OR,Oregon,Marion,44.9233,-123.0244,2,1840021224
Killeen,Killeen,TX,Texas,Bell,31.0753,-97.7297,2,1840020854
Round Lake Beach,Round Lake Beach,IL,Illinois,Lake,42.3791,-88.0811,2,1840011171
Columbus,Columbus,GA,Georgia,Muscogee,32.51,-84.8771,2,1840014887
North Las Vegas,North Las Vegas,NV,Nevada,Clark,36.2883,-115.0888,2,1840020363
Kennewick,Kennewick,WA,Washington,Benton,46.1978,-119.1732,2,1840018481
St. Petersburg,St. Petersburg,FL,Florida,Pinellas,27.7931,-82.6652,2,1840015977
Tallahassee,Tallahassee,FL,Florida,Leon,30.4551,-84.2527,2,1840015913
Laredo,Laredo,TX,Texas,Webb,27.5625,-99.4874,2,1840021002
Irving,Irving,TX,Texas,Dallas,32.8583,-96.9702,2,1840019438
Peoria,Peoria,IL,Illinois,Peoria,40.752,-89.6154,2,1840009373
Montgomery,Montgomery,AL,Alabama,Montgomery,32.3482,-86.2668,2,1840008353
Chesapeake,Chesapeake,VA,Virginia,Chesapeake,36.6778,-76.3023,2,1840003874
Glendale,Glendale,AZ,Arizona,Maricopa,33.5791,-112.2311,2,1840020563
York,York,PA,Pennsylvania,York,39.9651,-76.7315,2,1840001472
Nashua,Nashua,NH,New Hampshire,Hillsborough,42.7491,-71.491,2,1840002984
Garland,Garland,TX,Texas,Dallas,32.91,-96.6304,2,1840020707
Scottsdale,Scottsdale,AZ,Arizona,Maricopa,33.6872,-111.8651,2,1840021940
Lafayette,Lafayette,LA,Louisiana,Lafayette,30.2082,-92.0325,2,1840015044
Norfolk,Norfolk,VA,Virginia,Norfolk,36.8945,-76.259,2,1840003869
Arlington,Arlington,VA,Virginia,Arlington,38.8786,-77.1011,2,1840006112
Appleton,Appleton,WI,Wisconsin,Outagamie,44.278,-88.3892,2,1840002400
Aguadilla,Aguadilla,PR,Puerto Rico,Aguadilla,18.4382,-67.1537,2,1630035605
Rock Hill,Rock Hill,SC,South Carolina,York,34.9415,-81.0241,2,1840014618
Fremont,Fremont,CA,California,Alameda,37.5265,-121.9843,2,1840020292
Fargo,Fargo,ND,North Dakota,Cass,46.8651,-96.8292,2,1840000177
Gulfport,Gulfport,MS,Mississippi,Harrison,30.4274,-89.0704,2,1840013947
Bremerton,Bremerton,WA,Washington,Kitsap,47.5436,-122.7121,2,1840018410
Green Bay,Green Bay,WI,Wisconsin,Brown,44.5148,-87.9895,2,1840002344
Enterprise,Enterprise,NV,Nevada,Clark,36.0091,-115.2278,2,1840033827
Hialeah,Hialeah,FL,Florida,Miami-Dade,25.8696,-80.3045,2,1840015157
Deltona,Deltona,FL,Florida,Volusia,28.905,-81.2137,2,1840015072
San Bernardino,San Bernardino,CA,California,San Bernardino,34.1416,-117.2943,2,1840021728
Gainesville,Gainesville,FL,Florida,Alachua,29.6804,-82.3459,2,1840014022
Spring Valley,Spring Valley,NV,Nevada,Clark,36.0952,-115.2636,2,1840033832
Tacoma,Tacoma,WA,Washington,Pierce,47.2431,-122.4531,2,1840021129
Roanoke,Roanoke,VA,Virginia,Roanoke,37.2785,-79.9581,2,1840003858
Brownsville,Brownsville,TX,Texas,Cameron,25.9975,-97.458,2,1840019743
College Station,College Station,TX,Texas,Brazos,30.5852,-96.2959,2,1840019570
Olympia,Olympia,WA,Washington,Thurston,47.0417,-122.8959,2,1840019865
Clarksville,Clarksville,TN,Tennessee,Montgomery,36.5692,-87.3413,2,1840014421
Yonkers,Yonkers,NY,New York,Westchester,40.9466,-73.8673,2,1840003478
Moreno Valley,Moreno Valley,CA,California,Riverside,33.9244,-117.2045,2,1840020552
Thousand Oaks,Thousand Oaks,CA,California,Ventura,34.1914,-118.8756,2,1840021844
Portland,Portland,ME,Maine,Cumberland,43.6773,-70.2715,2,1840000327
Fontana,Fontana,CA,California,San Bernardino,34.0968,-117.4599,2,1840020402
Hickory,Hickory,NC,North Carolina,Catawba,35.741,-81.3223,2,1840014524
Amarillo,Amarillo,TX,Texas,Potter,35.1984,-101.8316,2,1840019156
Sioux Falls,Sioux Falls,SD,South Dakota,Minnehaha,43.5396,-96.7311,2,1840002648
Evansville,Evansville,IN,Indiana,Vanderburgh,37.9881,-87.5341,2,1840013730
Huntington,Huntington,WV,West Virginia,Cabell,38.4109,-82.4345,2,1840006211
Waterbury,Waterbury,CT,Connecticut,Naugatuck Valley,41.5582,-73.0361,2,1840004851
Frisco,Frisco,TX,Texas,Collin,33.156,-96.8216,2,1840020654
Lorain,Lorain,OH,Ohio,Lorain,41.4409,-82.184,2,1840000644
Kalamazoo,Kalamazoo,MI,Michigan,Kalamazoo,42.2749,-85.5882,2,1840003185
Galveston,Galveston,TX,Texas,Galveston,29.2484,-94.8913,2,1840020970
Spartanburg,Spartanburg,SC,South Carolina,Spartanburg,34.9442,-81.9251,2,1840015482
Santa Barbara,Santa Barbara,CA,California,Santa Barbara,34.4285,-119.7202,2,1840021829
Sunrise Manor,Sunrise Manor,NV,Nevada,Clark,36.1783,-115.0487,2,1840033833
Huntington Beach,Huntington Beach,CA,California,Orange,33.696,-118.0018,2,1840020578
Grand Prairie,Grand Prairie,TX,Texas,Dallas,32.6871,-97.0208,2,1840020709
Overland Park,Overland Park,KS,Kansas,Johnson,38.887,-94.687,2,1840003834
McKinney,McKinney,TX,Texas,Collin,33.2016,-96.667,2,1840020657
Waco,Waco,TX,Texas,McLennan,31.5599,-97.1882,2,1840022140
Hagerstown,Hagerstown,MD,Maryland,Washington,39.6401,-77.7217,2,1840005613
Glendale,Glendale,CA,California,Los Angeles,34.1819,-118.2468,2,1840020483
Nampa,Nampa,ID,Idaho,Canyon,43.5844,-116.5638,2,1840020041
Peoria,Peoria,AZ,Arizona,Maricopa,33.7843,-112.2989,2,1840020567
Cedar Rapids,Cedar Rapids,IA,Iowa,Linn,41.9662,-91.6783,2,1840000471
Vancouver,Vancouver,WA,Washington,Clark,45.6366,-122.5967,2,1840021189
Paradise,Paradise,NV,Nevada,Clark,36.0872,-115.1355,2,1840033743
Ocala,Ocala,FL,Florida,Marion,29.178,-82.1511,2,1840015067
Erie,Erie,PA,Pennsylvania,Erie,42.1167,-80.0733,2,1840000478
Newport News,Newport News,VA,Virginia,Newport News,37.1051,-76.5185,2,1840003862
Frederick,Frederick,MD,Maryland,Frederick,39.4337,-77.4141,2,1840005710
Murfreesboro,Murfreesboro,TN,Tennessee,Rutherford,35.849,-86.4121,2,1840014495
Fort Lauderdale,Fort Lauderdale,FL,Florida,Broward,26.1412,-80.1464,2,1840014236
Aurora,Aurora,IL,Illinois,Kane,41.7638,-88.2902,2,1840007034
Tempe,Tempe,AZ,Arizona,Maricopa,33.3881,-111.9319,2,1840021942
Danbury,Danbury,CT,Connecticut,Western Connecticut,41.4015,-73.4709,2,1840004837
Spring Hill,Spring Hill,FL,Florida,Hernando,28.4798,-82.53,2,1840014105
Gastonia,Gastonia,NC,North Carolina,Gaston,35.2494,-81.1854,2,1840013468
Salinas,Salinas,CA,California,Monterey,36.6883,-121.6317,2,1840021632
Fredericksburg,Fredericksburg,VA,Virginia,Fredericksburg,38.2992,-77.4872,2,1840003845
Ontario,Ontario,CA,California,San Bernardino,34.0393,-117.6064,2,1840020410
Elk Grove,Elk Grove,CA,California,Sacramento,38.4161,-121.3842,2,1840020245
Gainesville,Gainesville,GA,Georgia,Hall,34.2902,-83.8294,2,1840013612
Cary,Cary,NC,North Carolina,Wake,35.7819,-78.8195,2,1840016196
Rancho Cucamonga,Rancho Cucamonga,CA,California,San Bernardino,34.1247,-117.5667,2,1840020411
Oceanside,Oceanside,CA,California,San Diego,33.2247,-117.3083,2,1840020623
Garden Grove,Garden Grove,CA,California,Orange,33.7787,-117.9601,2,1840020577
Lancaster,Lancaster,CA,California,Los Angeles,34.6935,-118.1753,2,1840020516
Hemet,Hemet,CA,California,Riverside,33.7341,-116.9969,2,1840020550
Pembroke Pines,Pembroke Pines,FL,Florida,Broward,26.0128,-80.3382,2,1840015141
Panama City,Panama City,FL,Florida,Bay,30.1995,-85.6003,2,1840015034
Vallejo,Vallejo,CA,California,Solano,38.1125,-122.2342,2,1840021499
Manchester,Manchester,NH,New Hampshire,Hillsborough,42.9848,-71.4447,2,1840002983
Medford,Medford,OR,Oregon,Jackson,42.3372,-122.854,2,1840020076
Bayamón,Bayamon,PR,Puerto Rico,Bayamón,18.3794,-66.1635,2,1630035622
Mauldin,Mauldin,SC,South Carolina,Greenville,34.7821,-82.3032,2,1840015476
Santa Cruz,Santa Cruz,CA,California,Santa Cruz,36.9789,-122.0346,2,1840021579
Palmdale,Palmdale,CA,California,Los Angeles,34.5944,-118.1057,2,1840020502
Norwich,Norwich,CT,Connecticut,Southeastern Connecticut,41.5495,-72.0882,2,1840004828
Muskegon,Muskegon,MI,Michigan,Muskegon,43.2281,-86.2562,2,1840002870
Leesburg,Leesburg,FL,Florida,Lake,28.7672,-81.8962,2,1840015083
High Point,High Point,NC,North Carolina,Guilford,35.991,-79.9937,2,1840014479
Tuscaloosa,Tuscaloosa,AL,Alabama,Tuscaloosa,33.2348,-87.5268,2,1840005563
Visalia,Visalia,CA,California,Tulare,36.3276,-119.3269,2,1840021639
Marysville,Marysville,WA,Washington,Snohomish,48.0809,-122.1561,2,1840019789
Merced,Merced,CA,California,Merced,37.3057,-120.4779,2,1840020313
Hayward,Hayward,CA,California,Alameda,37.6328,-122.0766,2,1840020293
Lafayette,Lafayette,IN,Indiana,Tippecanoe,40.3991,-86.8593,2,1840008354
Springfield,Springfield,IL,Illinois,Sangamon,39.7709,-89.654,2,1840009517
Corona,Corona,CA,California,Riverside,33.8616,-117.5649,2,1840019305
Paterson,Paterson,NJ,New Jersey,Passaic,40.9147,-74.1624,2,1840000838
Alexandria,Alexandria,VA,Virginia,Alexandria,38.8185,-77.0861,2,1840003837
Macon,Macon,GA,Georgia,Bibb,32.8065,-83.6974,2,1840043455
Binghamton,Binghamton,NY,New York,Broome,42.1014,-75.9093,2,1840000460
Lakewood,Lakewood,CO,Colorado,Jefferson,39.6977,-105.1172,2,1840020198
Kansas City,Kansas City,KS,Kansas,Wyandotte,39.1235,-94.7443,2,1840001626
Odessa,Odessa,TX,Texas,Ector,31.8801,-102.3448,2,1840020794
Sunnyvale,Sunnyvale,CA,California,Santa Clara,37.3836,-122.0255,2,1840021573
New Bedford,New Bedford,MA,Massachusetts,Bristol,41.6697,-70.9428,2,1840003219
Hollywood,Hollywood,FL,Florida,Broward,26.0293,-80.1679,2,1840015144
South Lyon,South Lyon,MI,Michigan,Oakland,42.4614,-83.6526,2,1840002432
Escondido,Escondido,CA,California,San Diego,33.1348,-117.0723,2,1840020620
Lake Charles,Lake Charles,LA,Louisiana,Calcasieu,30.201,-93.2111,2,1840015039
Pasadena,Pasadena,TX,Texas,Harris,29.6575,-95.1498,2,1840020930
Bellevue,Bellevue,WA,Washington,King,47.5951,-122.1535,2,1840018417
Joliet,Joliet,IL,Illinois,Will,41.5188,-88.1499,2,1840008192
Champaign,Champaign,IL,Illinois,Champaign,40.1142,-88.2737,2,1840007239
Pomona,Pomona,CA,California,Los Angeles,34.0585,-117.7626,2,1840020507
Fairfield,Fairfield,CA,California,Solano,38.2583,-122.0335,2,1840020253
Mesquite,Mesquite,TX,Texas,Dallas,32.7602,-96.5865,2,1840020713
Elkhart,Elkhart,IN,Indiana,Elkhart,41.6916,-85.9627,2,1840008187
Naperville,Naperville,IL,Illinois,DuPage,41.748,-88.1659,2,1840008143
St. George,St. George,UT,Utah,Washington,37.0758,-113.5752,2,1840021559
Roseville,Roseville,CA,California,Placer,38.7703,-121.3196,2,1840020233
Topeka,Topeka,KS,Kansas,Shawnee,39.0346,-95.6955,2,1840001621
Burlington,Burlington,NC,North Carolina,Alamance,36.076,-79.4685,2,1840013362
Warner Robins,Warner Robins,GA,Georgia,Houston,32.5961,-83.6527,2,1840015800
Surprise,Surprise,AZ,Arizona,Maricopa,33.6815,-112.4515,2,1840021941
Torrance,Torrance,CA,California,Los Angeles,33.8346,-118.3416,2,1840021873
Santa Maria,Santa Maria,CA,California,Santa Barbara,34.9333,-120.4431,2,1840021830
Athens,Athens,GA,Georgia,Clarke,33.9508,-83.3689,2,1840029463
Houma,Houma,LA,Louisiana,Terrebonne,29.58,-90.7059,2,1840015063
Columbia,Columbia,MO,Missouri,Boone,38.9472,-92.3268,2,1840007391
Fullerton,Fullerton,CA,California,Orange,33.8841,-117.9279,2,1840020576
Olathe,Olathe,KS,Kansas,Johnson,38.8833,-94.82,2,1840003833
Thornton,Thornton,CO,Colorado,Adams,39.9197,-104.9438,2,1840021422
Greeley,Greeley,CO,Colorado,Weld,40.4152,-104.7706,2,1840020149
Beaumont,Beaumont,TX,Texas,Jefferson,30.0849,-94.1451,2,1840019612
Las Cruces,Las Cruces,NM,New Mexico,Doña Ana,32.3265,-106.7893,2,1840020683
Midland,Midland,TX,Texas,Midland,32.0243,-102.1147,2,1840020792
Metairie,Metairie,LA,Louisiana,Jefferson,29.9977,-90.178,2,1840013994
Carolina,Carolina,PR,Puerto Rico,Carolina,18.4054,-65.9792,2,1630035637
West Valley City,West Valley City,UT,Utah,Salt Lake,40.6886,-112.0123,2,1840021389
Orange,Orange,CA,California,Orange,33.8038,-117.8218,2,1840020582
Warren,Warren,MI,Michigan,Macomb,42.4934,-83.027,2,1840002418
Grand Junction,Grand Junction,CO,Colorado,Mesa,39.0877,-108.5673,2,1840020230
Tyler,Tyler,TX,Texas,Smith,32.3184,-95.3062,2,1840022076
Pasadena,Pasadena,CA,California,Los Angeles,34.1597,-118.139,2,1840020505
